dataset,variable,role,included_in_model,linear_svm_knn_rule,tree_ensemble_rule,research_note
Australian Credit Approval,a1,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
Australian Credit Approval,a4,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
Australian Credit Approval,a5,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
Australian Credit Approval,a6,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
Australian Credit Approval,a8,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
Australian Credit Approval,a9,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
Australian Credit Approval,a11,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
Australian Credit Approval,a12,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
Australian Credit Approval,a2,numerical,True,"Median imputation, then standardization","Median imputation, retain original scale",
Australian Credit Approval,a3,numerical,True,"Median imputation, then standardization","Median imputation, retain original scale",
Australian Credit Approval,a7,numerical,True,"Median imputation, then standardization","Median imputation, retain original scale",
Australian Credit Approval,a10,numerical,True,"Median imputation, then standardization","Median imputation, retain original scale",
Australian Credit Approval,a13,numerical,True,"Median imputation, then standardization","Median imputation, retain original scale",
Australian Credit Approval,a14,numerical,True,"Median imputation, then standardization","Median imputation, retain original scale",
Australian Credit Approval,class,original_target,False,Excluded from predictors,Excluded from predictors,Retained only for traceability
Australian Credit Approval,adverse_target,unified_target,False,Outcome: 1 = adverse/default,Outcome: 1 = adverse/default,Common positive-class definition
Australian Credit Approval,profile_group_id,validation_group,False,Excluded from predictors,Excluded from predictors,Keeps identical predictor profiles within one fold
German Credit,status,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
German Credit,credit_history,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
German Credit,purpose,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
German Credit,savings,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
German Credit,employment_duration,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
German Credit,personal_status_sex,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
German Credit,other_debtors,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
German Credit,property,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
German Credit,other_installment_plans,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
German Credit,housing,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
German Credit,job,categorical,True,"Most-frequent imputation, then one-hot encoding","Most-frequent imputation, then one-hot encoding",
